Data;PETR4_Var_Resposta;PETR4_Volume_Dia_Anterior;PETR4_Var_Abertura_Hoje_Dia_Anterior;PETR4_Var_Dia_Anterior;IBOV_Var_Dia_Anterior;DOW_JONES_Var_Dia_Anterior;Tx_Selic_Var_Dia_Anterior;Var_Cambio_Nominal_Dia_Anterior;Var_Petroleo_Brent_Dia_Anterior;Google_Buscas_Dia_Anterior;Google_Noticias_Dia_Anterior;Google_Gasolina_Dia_Anterior;PETR4_Var_Positiva_2_dias;PETR4_Var_Negativa_2_dias;PETR4_Var_Maior_1;IBOV_Var_Positiva_2_dias;IBOV_Var_Negativa_2_dias;DOW_JONES_Var_Positiva_2_dias;DOW_JONES_Var_Negativa_2_dias;Petroleo_Brent_Var_Positiva_2_dias;Petroleo_Brent_Var_Negativa_2_dias;Mes_Eleitoral;Mes_Pre_Eleitoral;Mes_Pos_Eleitoral
16/03/2009;0;25.04;0.12;0.11;-136.49;4;0;0.009;-0.16;35;15;0;1;0;0;0;0;1;0;0;0;0;0;0
17/03/2009;1;30.09;0;-0.39;-408.17;171;0;-0.023;-0.95;16;29;0;0;0;0;0;1;1;0;0;1;0;0;0
18/03/2009;1;22.16;-0.28;0.61;903.52;91;0;0.003;4.26;48;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19/03/2009;1;26.9;0.33;0.24;631.57;-87;0;-0.037;-0.58;16;12;43;1;0;0;1;0;1;0;0;0;0;0;0
20/03/2009;0;30.38;0;0.73;311.14;42.8;0;0.008;3.01;67;15;0;1;0;0;1;0;0;0;0;0;0;0;0
23/03/2009;1;27.91;0.63;-0.12;-377.02;258.2;0;0.015;0.55;43;16;0;0;0;0;0;0;0;0;1;0;0;0;0
24/03/2009;0;30.36;-0.23;1.34;2362.14;-92;0;-0.026;2.25;56;37;0;0;0;1;0;0;1;0;1;0;0;0;0
25/03/2009;1;24.42;0.06;-0.39;-962.72;60;0;0.003;0.03;87;60;0;0;0;0;0;0;0;0;1;0;0;0;0
26/03/2009;0;22.4;0.32;0.07;323.47;169;0;-0.011;-1.75;48;15;54;0;0;0;0;0;0;0;0;0;0;0;0
27/03/2009;0;22.8;-0.44;-0.05;789.36;-87;0;0;1.71;41;31;0;0;0;0;1;0;1;0;0;0;0;0;0
30/03/2009;0;19.12;-0.57;-0.59;-681.37;-282;0;0.053;-1.48;60;45;0;0;1;0;0;0;0;0;0;0;0;0;0
31/03/2009;0;16.88;0.24;-0.62;-1254.16;82;0;0.041;-3.99;48;21;50;0;1;0;0;1;0;1;0;1;0;0;0
01/04/2009;1;22.6;-0.34;-0.18;272.74;156;0;-0.014;1.24;47;13;0;0;1;0;0;0;0;0;0;0;0;0;0
02/04/2009;1;25.74;0.65;0.65;1050.46;240;0;-0.044;-0.79;164;19;0;0;0;0;1;0;1;0;0;0;0;0;0
03/04/2009;0;28.32;-0.08;0.84;1760.12;25;0;-0.041;4.31;66;36;0;1;0;0;1;0;1;0;0;0;0;0;0
06/04/2009;0;23.67;-0.2;-0.08;654.53;-67;0;-0.023;0.72;88;0;0;0;0;0;1;0;1;0;1;0;0;0;0
07/04/2009;0;15.68;-0.3;-0.08;-223.72;-154;0;0.01;-1.23;97;32;0;0;1;0;0;0;0;0;0;0;0;0;0
08/04/2009;0;19.1;0.07;-0.25;-342.73;31;0;-0.006;-1.02;85;36;0;0;1;0;0;1;0;1;0;1;0;0;0
09/04/2009;1;23.14;0.73;-0.06;357.45;224;0;-0.009;0.37;119;53;65;0;1;0;0;0;0;0;0;0;0;0;0
13/04/2009;0;25.48;-0.26;0.99;1356.73;-22;0;0;2.47;76;60;0;0;0;0;1;0;1;0;1;0;0;0;0
14/04/2009;0;19.67;-0.14;-0.04;453.18;-111;0;0;-1.92;65;37;0;0;0;0;1;0;0;0;0;0;0;0;0
15/04/2009;0;25.12;-0.04;-0.22;-573.71;96;0;0.038;-0.18;78;36;0;0;1;0;0;0;0;1;0;1;0;0;0
16/04/2009;1;27.46;0.12;-0.4;-145.53;83;0;-0.025;-0.17;32;35;0;0;1;0;0;1;0;0;0;1;0;0;0
17/04/2009;0;21.54;-0.08;0.01;752.13;21;0;-0.009;1.27;99;50;69;0;0;0;0;0;1;0;0;0;0;0;0
20/04/2009;0;16.01;-0.4;-0.37;-246.5;-264;0;0.018;0.29;36;67;0;0;0;0;0;0;1;0;1;0;0;0;0
22/04/2009;0;20.49;0;-0.55;-1345.13;-107;0;-0.022;-0.04;74;55;0;0;1;0;0;1;0;0;0;1;0;0;0
23/04/2009;1;19.3;0.16;-0.15;455.05;99;0;-0.015;-0.01;113;33;0;0;1;0;0;0;0;0;0;1;0;0;0
24/04/2009;1;17.93;0.3;0.51;912.97;141;0;-0.006;0.3;64;34;0;0;0;0;1;0;0;0;0;0;0;0;0
27/04/2009;0;20.06;-0.25;0.03;970.62;-54;0;-0.023;1.56;100;37;0;1;0;0;1;0;1;0;1;0;0;0;0
28/04/2009;1;19.25;-0.18;-0.48;-952.08;-35;0;0.036;-1.35;96;32;68;0;0;0;0;0;0;0;0;0;0;0;0
29/04/2009;1;20.39;0.29;0.11;1.73;158;0;-0.021;-0.33;110;0;0;0;0;0;0;0;0;1;0;1;0;0;0
30/04/2009;0;22.72;0.26;0.7;1405.35;1;-1;-0.021;0.79;80;0;0;1;0;0;1;0;0;0;0;0;0;0;0
04/05/2009;1;22.75;0.57;-0.15;62.74;178;0;-0.016;2.05;101;43;0;0;0;0;1;0;1;0;1;0;0;0;0
05/05/2009;1;38.03;-0.1;1.61;3115;23;0;-0.059;1.73;52;22;0;0;0;1;1;0;1;0;1;0;0;0;0
06/05/2009;1;25.64;0.23;0.35;265.25;89;0;0.022;-0.46;74;38;46;1;0;0;1;0;1;0;0;0;0;0;0
07/05/2009;0;33.98;0.35;0.36;829.7;-84;0;-0.022;2.03;101;21;0;1;0;0;1;0;1;0;0;0;0;0;0
08/05/2009;1;23.09;0.78;-0.44;-1441.42;129;0;-0.007;0.32;52;20;0;0;0;0;0;0;0;0;1;0;0;0;0
11/05/2009;0;19.39;-0.5;0.79;1337.93;-114;0;-0.045;1.67;54;20;0;0;0;0;0;0;0;0;1;0;0;0;0
12/05/2009;0;17.94;0.38;-0.1;-419.6;34;0;0.005;-0.66;112;40;0;0;0;0;0;0;0;0;0;0;0;0;0
13/05/2009;0;23.09;-0.66;-0.4;-650.61;-142;0;0.003;0.46;60;31;0;0;1;0;0;1;0;0;0;0;0;0;0
14/05/2009;1;21.26;-0.04;-0.67;-1646.59;-7;0;0.045;-0.6;85;19;0;0;1;0;0;1;0;0;0;0;0;0;0
15/05/2009;0;17.28;-0.07;0.2;766.83;-20;0;-0.029;-0.65;49;0;0;0;0;0;0;0;0;1;0;1;0;0;0
18/05/2009;1;18.55;0.07;-0.34;-438.81;203;0;0.027;-0.71;90;33;0;0;0;0;0;0;0;1;0;1;0;0;0
19/05/2009;1;27.82;0;1.08;2455.81;-21;0;-0.042;2.49;25;56;68;0;0;1;0;0;0;0;0;0;0;0;0
20/05/2009;1;19.02;0.14;0.01;-116.41;-54;0;-0.031;0.45;24;49;0;1;0;0;0;0;0;0;1;0;0;0;0
21/05/2009;0;24.08;-0.34;0.33;-101.52;-100;0;-0.007;1.67;74;48;50;1;0;0;0;1;0;1;1;0;0;0;0
22/05/2009;1;17.34;0.23;-0.5;-1157.76;-35;0;0;-0.66;125;32;53;0;0;0;0;1;0;1;0;0;0;0;0
25/05/2009;1;14.71;-0.07;0.29;481.16;0;0;-0.006;0.85;26;22;55;0;0;0;0;0;0;0;0;0;0;0;0
26/05/2009;1;5.43;-0.19;0.06;247.75;201;0;0;-0.57;48;21;0;1;0;0;1;0;0;1;0;0;0;0;0
27/05/2009;1;20.96;0.05;0.61;1024.56;-164;0;-0.021;1.03;70;46;53;1;0;0;1;0;0;0;0;0;0;0;0
28/05/2009;1;20.53;0.28;0;-49.19;87;0;0.037;1.26;60;47;0;1;0;0;0;0;0;0;1;0;0;0;0
29/05/2009;0;21.08;0.27;0.7;1249.13;104;0;-0.039;1.89;60;36;44;1;0;0;0;0;0;0;1;0;0;0;0
